,Lat,Max Temp,Humidity,Cloudiness,Wind Speed
172,13.47,296.57,81,100,5.95
173,69.49,280.15,81,100,12.0
174,48.37,295.37,77,20,7.2
175,62.23,283.15,93,94,2.6
176,50.68,282.8,91,100,1.2
177,-24.87,289.15,77,0,6.2
178,8.12,286.84,82,55,1.92
179,-10.58,292.35,78,53,1.5
180,51.23,294.91,47,9,5.61
181,-21.21,298.15,88,5,2.6
182,66.32,288.39,54,59,1.18
183,29.03,299.3,51,0,9.18
184,-32.72,279.26,100,75,2.6
185,63.84,284.15,71,20,10.3
186,38.93,293.81,58,99,0.25
187,44.53,302.04,30,1,5.7
188,21.35,303.15,54,1,5.1
189,5.03,293.04,94,29,0.77
190,29.42,309.26,46,40,2.6
191,-2.02,301.27,77,39,3.41
192,-43.3,277.54,72,100,4.59
193,-13.7,294.82,64,0,7.2
194,32.22,309.15,34,40,3.1
195,64.92,280.93,87,58,5.88
196,-14.27,289.1,29,76,5.66
197,20.89,304.15,48,20,8.7
198,56.55,282.44,93,0,2.67
199,-10.75,291.11,77,54,4.91
200,4.93,302.15,70,84,1.5
201,30.48,294.41,62,0,5.67
202,37.33,305.15,52,40,2.1
203,4.88,296.83,89,24,3.66
204,51.35,294.26,60,90,2.6
205,5.66,304.15,55,40,3.1
206,41.37,303.15,66,40,3.1
207,-34.0,287.8,35,0,2.15
208,38.52,295.15,68,75,1.0
209,27.91,295.93,78,20,13.4
210,35.6,289.74,88,100,0.44
211,-0.61,299.81,84,79,5.35
212,6.84,297.92,88,100,1.92
213,9.0,301.15,78,40,0.28
214,53.22,300.15,74,75,4.1
215,34.64,295.37,56,0,2.1
216,-21.37,292.15,68,75,6.7
217,60.47,287.57,64,0,1.9
218,-9.43,297.15,88,75,3.68
219,58.81,289.15,72,90,1.5
220,71.04,283.15,100,90,0.5
221,-6.13,295.22,82,0,3.63
222,48.93,289.82,82,75,2.1
223,-17.73,300.15,69,40,2.1
224,-9.09,291.58,75,63,6.33
225,-41.15,271.15,68,20,4.1
226,43.65,299.36,37,72,6.12
227,64.86,291.15,55,75,4.1
228,-14.47,286.15,62,0,3.6
229,22.57,302.35,70,67,8.29
230,69.38,281.58,67,57,5.99
231,-3.67,300.02,80,51,2.84
